X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId,geometry,element_station2,id_station2,landuse,element_amenity,id_amenity,amenity
-7916449.25419505,5212671.5145918,K32015,1200 Beacon St,42.34414899,-71.11467361,Brookline,Yes,15,1,POINT (-71.11467361 42.34414899),,,,,,
-7923241.99846632,5215761.83871611,W32006,160 Arsenal St,42.36466403,-71.17569387,Watertown,Yes,11,2,POINT (-71.17569387 42.36466403),,,,,,
-7917978.19400525,5215733.29441385,A32019,175 N Harvard St,42.36447457,-71.12840831,Boston,Yes,17,3,POINT (-71.12840831 42.36447457),,,,relation,2415825.0,university
-7915793.86291939,5218121.39090942,S32035,191 Beacon St,42.38032335,-71.10878613,Somerville,Yes,19,4,POINT (-71.10878613 42.38032335),,,,,,
-7914259.53190626,5204349.46890637,C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Boston,Yes,17,5,POINT (-71.095003 42.28887),,,,,,
-7915263.88195568,5218223.57754792,S32023,30 Dane St,42.38100143,-71.10402523,Somerville,Yes,15,6,POINT (-71.10402523 42.38100143),,,,,,
-7915306.93699513,5216686.7909059,M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge,Yes,23,7,POINT (-71.104412 42.370803),,,,way,1159667490.0,school
-7915491.40341013,5218559.01933548,S32049,515 Somerville Ave (Temp. Winter Location),42.38322727,-71.10606909,Somerville,Yes,19,8,POINT (-71.10606909 42.38322727),,,,,,
-7919707.84174415,5219703.51021811,M32088,55 Wheeler Street,42.390821,-71.143946,Cambridge,Yes,23,9,POINT (-71.143946 42.390821),,,residential,,,
-7916957.58240461,5201224.51067718,C32106,555 Metropolitan Ave,42.2681,-71.11924,Boston,Yes,18,10,POINT (-71.11924 42.2681),,,,,,
-7915898.37744972,5203884.49655678,C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Boston,Yes,18,11,POINT (-71.109725 42.28578),,,,,,
-7908122.17334467,5212314.85603592,C32091,645 Summer St,42.34178089,-71.03987017,Boston,Yes,19,12,POINT (-71.03987017 42.34178089),,,,,,
-7920238.85129996,5217319.55464976,M32054,699 Mt Auburn St,42.37500235,-71.14871614,Cambridge,Yes,25,13,POINT (-71.14871614 42.37500235),,,grass,,,bicycle_rental
-7911279.4701759,5222810.63495878,V32001,7 Acre Park,42.41143223,-71.06823265,Everett,Yes,15,14,POINT (-71.06823265 42.41143223),,,,,,
-7915251.63792488,5213493.96340703,B32060,700 Commonwealth Ave.,42.34960945,-71.10391524,Boston,Yes,16,15,POINT (-71.10391524 42.34960945),,,,,,university
-7920841.39810015,5218191.43915247,M32060,700 Huron Ave,42.38078817,-71.15412891,Cambridge,Yes,19,16,POINT (-71.15412891 42.38078817),,,,,,social_facility
-7912604.72314782,5215888.88646318,M32064,75 Binney St,42.36550729,-71.0801376,Cambridge,Yes,19,17,POINT (-71.0801376 42.36550729),,,commercial,,,bicycle_rental
-7919707.2851467,5220122.38249317,M32058,84 Cambridgepark Dr,42.3936,-71.143941,Cambridge,Yes,27,18,POINT (-71.143941 42.3936),way,1280717534.0,residential,,,bicycle_rental
-7906345.40963128,5220848.59180053,H32006,855 Broadway,42.39841773,-71.02390923,Chelsea,Yes,11,19,POINT (-71.02390923 42.39841773),,,,,,
-7919738.23641792,5220366.85179704,M32084,87-101 Cambridgepark Drive,42.39522187,-71.14421904,Cambridge,Yes,23,20,POINT (-71.14421904 42.39522187),way,128839031.0,commercial,,,bicycle_rental
-7915927.6322119,5216407.86452531,M32073,955 Mass Ave,42.36895181,-71.1099878,Cambridge,Yes,19,21,POINT (-71.1099878 42.36895181),,,,,,bicycle_rental
-7911358.72408737,5211541.83218866,C32061,Albany St at E. Brookline St,42.33664795,-71.0689446,Boston,Yes,15,22,POINT (-71.0689446 42.33664795),,,,,,
-7919558.68921122,5220422.10987684,M32046,Alewife MBTA at Steel Place,42.39558846,-71.14260614,Cambridge,Yes,19,23,POINT (-71.14260614 42.39558846),,,commercial,,,parking
