Person_ID,Identification_Confidence,Evidence_Type,Member_Type,Outbound_start_station_id,Outbound_end_station_id,Return_start_station_id,Return_end_station_id,Outbound_Undock_Time,Outbound_Redock_Time,Return_Undock_Time,Outbound_Date,Return_Date,Outbound_Bike_Time_Minutes,Time_At_Destination,Outbound_Ride_ID,Return_Ride_ID,Number_Of_Matched_Pairs,Pattern_Consistency,Quasi_Identifier,Why_Not_Anonymous,Anonymity_Set_Size,Uniqueness_Score,K_Anonymity_Violated,Privacy_Risk_Level
COMMUTER_member_Tremont St at Northampton St~Back Bay T Stop - Dartmouth St at Stuart St,CRITICAL,Matched Outbound + Return Journey,member,C32056,C32003,C32003,C32056,06:14,06:14,15:43,2025-10-14,2025-10-14,0,9h 29m,8355BC87F788F1F3,B243349A1098BBCB,18,Arrival times within ±4 minutes,"(member, Tremont St at Northampton St -> Back Bay T Stop - Dartmouth St at Stuart St, ~370)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Troy Boston~Albany St at E. Brookline St,CRITICAL,Matched Outbound + Return Journey,member,C32035,C32061,C32061,C32035,07:52,07:52,16:50,2025-10-14,2025-10-14,0,8h 58m,ACE073BD99F39E37,DA91739C259FA7B7,14,Arrival times within ±4 minutes,"(member, Troy Boston -> Albany St at E. Brookline St, ~470)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_South Station - 700 Atlantic Ave~Albany St at E. Brookline St,CRITICAL,Matched Outbound + Return Journey,member,A32010,C32061,C32061,A32010,06:32,06:32,15:25,2025-10-16,2025-10-16,0,8h 53m,0A1B1DA63DF3DA37,A149F3870CC0466E,12,Arrival times within ±4 minutes,"(member, South Station - 700 Atlantic Ave -> Albany St at E. Brookline St, ~390)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Linear Park - Mass. Ave. at Cameron Ave. ~Davis Square,CRITICAL,Matched Outbound + Return Journey,member,M32025,,S32006,M32025,08:06,08:06,17:09,2025-10-31,2025-10-31,0,9h 3m,47D7B5D6EEDFF314,992BD16B35EDB908,12,Arrival times within ±3 minutes,"(member, Linear Park - Mass. Ave. at Cameron Ave.  -> Davis Square, ~485)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Harvard University Housing - 115 Putnam Ave at Peabody Terrace~Harvard Kennedy School at Bennett St / Eliot St,CRITICAL,Matched Outbound + Return Journey,member,M32014,M32016,M32016,M32014,08:46,08:46,20:07,2025-10-29,2025-10-29,0,11h 21m,D2C6EA07096B4C81,D9EEBEEF7CD80DD5,12,Arrival times within ±3 minutes,"(member, Harvard University Housing - 115 Putnam Ave at Peabody Terrace -> Harvard Kennedy School at Bennett St / Eliot St, ~525)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Gore Street at Lambert Street~EF - North Point Park,CRITICAL,Matched Outbound + Return Journey,member,M32081,M32034,M32034,M32081,08:36,08:36,18:39,2025-10-24,2025-10-24,0,10h 3m,92ED5CEA02F9C071,C78756DEF18F7037,12,Arrival times within ±3 minutes,"(member, Gore Street at Lambert Street -> EF - North Point Park, ~515)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Back Bay T Stop - Dartmouth St at Stuart St~Mass Ave at Albany St,CRITICAL,Matched Outbound + Return Journey,member,C32003,M32061,M32061,C32003,07:43,07:43,14:55,2025-10-28,2025-10-28,0,7h 12m,B92D17EA924CAD1E,27B2F541F2266A48,11,Arrival times within ±4 minutes,"(member, Back Bay T Stop - Dartmouth St at Stuart St -> Mass Ave at Albany St, ~460)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Back Bay T Stop - Dartmouth St at Stuart St~Albany St at E. Brookline St,CRITICAL,Matched Outbound + Return Journey,member,C32003,C32061,C32061,C32003,05:52,05:52,10:43,2025-10-23,2025-10-23,0,4h 51m,2022251CB3ACF2C1,94FE53BC273D901F,10,Arrival times within ±4 minutes,"(member, Back Bay T Stop - Dartmouth St at Stuart St -> Albany St at E. Brookline St, ~350)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Columbus Ave at W. Canton St~Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,VERY HIGH,Matched Outbound + Return Journey,member,C32077,B32002,B32002,C32077,07:37,07:37,17:55,2025-10-30,2025-10-30,0,10h 18m,ABA43B2C6184A324,E55BAC04586B506E,9,Arrival times within ±4 minutes,"(member, Columbus Ave at W. Canton St -> Ruggles T Stop - Columbus Ave at Melnea Cass Blvd, ~455)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Rowes Wharf at Atlantic Ave~Lewis Wharf at Atlantic Ave,VERY HIGH,Matched Outbound + Return Journey,member,D32008,D32006,D32006,D32008,07:51,07:51,20:00,2025-10-16,2025-10-16,0,12h 9m,A149E027A8FBE189,5196284682BD9586,9,Arrival times within ±3 minutes,"(member, Rowes Wharf at Atlantic Ave -> Lewis Wharf at Atlantic Ave, ~470)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Edwards Playground - Main St at Eden St~Bunker Hill Community College,VERY HIGH,Matched Outbound + Return Journey,member,A32022,A32023,A32023,A32022,06:52,06:52,15:08,2025-10-31,2025-10-31,0,8h 16m,1DC0A4A647D6A3CE,5937BF4F4C05CB25,9,Arrival times within ±4 minutes,"(member, Edwards Playground - Main St at Eden St -> Bunker Hill Community College, ~410)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_South Station - 700 Atlantic Ave~Binney St / Sixth St,VERY HIGH,Matched Outbound + Return Journey,member,A32010,M32027,M32027,A32010,06:29,06:29,14:45,2025-10-20,2025-10-20,0,8h 16m,9CFBA5ADB9A79E48,B91DFACF0D865CCE,9,Arrival times within ±4 minutes,"(member, South Station - 700 Atlantic Ave -> Binney St / Sixth St, ~385)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Berkshire Street at Cambridge Street~Third at Binney,VERY HIGH,Matched Outbound + Return Journey,member,M32067,M32048,M32048,M32067,05:37,05:37,13:44,2025-10-29,2025-10-29,0,8h 7m,801BAF5E1884199D,522B6A15E9AE451C,9,Arrival times within ±4 minutes,"(member, Berkshire Street at Cambridge Street -> Third at Binney, ~335)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Rowes Wharf at Atlantic Ave~Stuart St at Berkeley St,VERY HIGH,Matched Outbound + Return Journey,member,D32008,D32049,D32049,D32008,07:51,07:51,16:06,2025-10-01,2025-10-01,0,8h 15m,DF8FA656FBBDB955,0DE0E5C11685E941,9,Arrival times within ±3 minutes,"(member, Rowes Wharf at Atlantic Ave -> Stuart St at Berkeley St, ~470)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Rowes Wharf at Atlantic Ave~EF - North Point Park,VERY HIGH,Matched Outbound + Return Journey,member,D32008,M32034,M32034,D32008,08:22,08:22,18:09,2025-10-15,2025-10-15,0,9h 47m,8E2773441DE26CA4,3A554A06FFAA2A41,9,Arrival times within ±3 minutes,"(member, Rowes Wharf at Atlantic Ave -> EF - North Point Park, ~500)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Edwards Playground - Main St at Eden St~18 Dorrance Warehouse,VERY HIGH,Matched Outbound + Return Journey,member,A32022,X32999,X32999,A32022,09:39,09:39,18:02,2025-10-18,2025-10-18,0,8h 23m,E9CB5D022F0AC22E,A5F731DC39B7B3FF,9,Arrival times within ±2 minutes,"(member, Edwards Playground - Main St at Eden St -> 18 Dorrance Warehouse, ~575)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Gilman Square T at Medford St~Spaulding Rehabilitation Hospital - Charlestown Navy Yard,VERY HIGH,Matched Outbound + Return Journey,member,S32046,D32023,D32023,S32046,05:54,05:54,17:13,2025-10-15,2025-10-15,0,11h 19m,B082F2903DB32470,C533E0D5A840DF40,8,Arrival times within ±4 minutes,"(member, Gilman Square T at Medford St -> Spaulding Rehabilitation Hospital - Charlestown Navy Yard, ~350)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Harvard Law School at Mass Ave / Jarvis St~Harvard Kennedy School at Bennett St / Eliot St,VERY HIGH,Matched Outbound + Return Journey,member,M32020,M32016,M32016,M32020,08:42,08:42,19:58,2025-10-15,2025-10-15,0,11h 16m,B6084B23B1953169,92FBB18620ADB907,8,Arrival times within ±3 minutes,"(member, Harvard Law School at Mass Ave / Jarvis St -> Harvard Kennedy School at Bennett St / Eliot St, ~520)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Charles Circle - Charles St at Cambridge St~75 Binney St,VERY HIGH,Matched Outbound + Return Journey,member,D32016,M32064,M32064,D32016,07:42,07:42,17:22,2025-10-17,2025-10-17,0,9h 40m,DBC38946F885A500,B337D96AF0E1A6C1,8,Arrival times within ±3 minutes,"(member, Charles Circle - Charles St at Cambridge St -> 75 Binney St, ~460)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_175 N Harvard St~N. Harvard St at Harvard Way,VERY HIGH,Matched Outbound + Return Journey,member,A32019,A32015,A32015,A32019,10:03,10:03,18:13,2025-10-20,2025-10-20,0,8h 10m,6C8FFA1B230A433B,2615784CC5828BD2,8,Arrival times within ±3 minutes,"(member, 175 N Harvard St -> N. Harvard St at Harvard Way, ~600)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Lansdowne T Stop~Ames St at Main St,VERY HIGH,Matched Outbound + Return Journey,member,B32058,M32037,M32037,B32058,07:44,07:44,18:03,2025-10-08,2025-10-08,0,10h 19m,B2308E1F469E6014,AFC57E23275AFDB4,8,Arrival times within ±4 minutes,"(member, Lansdowne T Stop -> Ames St at Main St, ~460)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Aquarium T Stop - 200 Atlantic Ave~ID Building West,VERY HIGH,Matched Outbound + Return Journey,member,B32004,C32021,C32021,B32004,07:30,07:30,14:51,2025-10-15,2025-10-15,0,7h 21m,B6004D7745BA4335,FB64671107E4B289,8,Arrival times within ±2 minutes,"(member, Aquarium T Stop - 200 Atlantic Ave -> ID Building West, ~450)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Tremont St at Northampton St~Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,VERY HIGH,Matched Outbound + Return Journey,member,C32056,B32002,B32002,C32056,07:06,07:06,13:31,2025-10-31,2025-10-31,0,6h 25m,70AA4126076FBE01,9BE0484309A2FD5E,8,Arrival times within ±1 minutes,"(member, Tremont St at Northampton St -> Ruggles T Stop - Columbus Ave at Melnea Cass Blvd, ~425)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
COMMUTER_member_Brookline Village MBTA at Pearl Street~Jamaicaway at Perkins St,VERY HIGH,Matched Outbound + Return Journey,member,K32003,E32002,E32002,K32003,08:20,08:20,17:24,2025-10-09,2025-10-09,0,9h 4m,7D6B928D05B0E972,0A4D0FD113ABF646,8,Arrival times within ±3 minutes,"(member, Brookline Village MBTA at Pearl Street -> Jamaicaway at Perkins St, ~500)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique
