Person_ID,Identification_Confidence,Evidence_Type,Member_Type,Outbound_start_station_id,Outbound_end_station_id,Return_start_station_id,Return_end_station_id,Outbound_Undock_Time,Outbound_Redock_Time,Return_Undock_Time,Outbound_Date,Return_Date,Outbound_Bike_Time_Minutes,Time_At_Destination,Outbound_Ride_ID,Return_Ride_ID,Number_Of_Matched_Pairs,Pattern_Consistency,Quasi_Identifier,Why_Not_Anonymous,Anonymity_Set_Size,Uniqueness_Score,K_Anonymity_Violated,Privacy_Risk_Level,Anonymity_at_±5min,Anonymity_at_±10min,Anonymity_at_±15min,Anonymity_at_±20min
COMMUTER_member_Lansdowne T Stop~Mass Ave at Albany St,VERY HIGH,Matched Outbound + Return Journey,member,B32058,M32061,M32061,B32058,07:42,07:42,15:51,2025-10-28,2025-10-28,0,8h 9m,23958E8DD7E412EF,638CCE3B24E57A11,8,Arrival times within ±1 minutes,"(member, Lansdowne T Stop -> Mass Ave at Albany St, ~462)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,13,15,13,16
COMMUTER_member_Tremont St at Northampton St~Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,VERY HIGH,Matched Outbound + Return Journey,member,C32056,B32002,B32002,C32056,07:06,07:06,13:31,2025-10-31,2025-10-31,0,6h 25m,70AA4126076FBE01,9BE0484309A2FD5E,8,Arrival times within ±1 minutes,"(member, Tremont St at Northampton St -> Ruggles T Stop - Columbus Ave at Melnea Cass Blvd, ~426)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,9,9,9,9
COMMUTER_member_Edwards Playground - Main St at Eden St~18 Dorrance Warehouse,VERY HIGH,Matched Outbound + Return Journey,member,A32022,X32999,X32999,A32022,09:39,09:39,18:02,2025-10-18,2025-10-18,0,8h 23m,E9CB5D022F0AC22E,A5F731DC39B7B3FF,8,Arrival times within ±1 minutes,"(member, Edwards Playground - Main St at Eden St -> 18 Dorrance Warehouse, ~578)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,11,11,16,11
COMMUTER_casual_Lake St. at Minuteman Bikeway~Alewife MBTA at Steel Place,VERY HIGH,Matched Outbound + Return Journey,casual,L32008,M32046,M32046,L32008,07:57,07:57,23:46,2025-10-24,2025-10-24,0,15h 49m,9311C455879C6988,B9E2C0D0B4962141,7,Arrival times within ±1 minutes,"(casual, Lake St. at Minuteman Bikeway -> Alewife MBTA at Steel Place, ~476)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,9,11,12,12
COMMUTER_member_Back Bay T Stop - Dartmouth St at Stuart St~Mass Ave at Albany St,VERY HIGH,Matched Outbound + Return Journey,member,C32003,M32061,M32061,C32003,07:43,07:43,14:55,2025-10-28,2025-10-28,0,7h 12m,B92D17EA924CAD1E,27B2F541F2266A48,7,Arrival times within ±1 minutes,"(member, Back Bay T Stop - Dartmouth St at Stuart St -> Mass Ave at Albany St, ~462)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,12,12,24,12
COMMUTER_member_175 N Harvard St~N. Harvard St at Harvard Way,VERY HIGH,Matched Outbound + Return Journey,member,A32019,A32015,A32015,A32019,10:03,10:03,18:13,2025-10-20,2025-10-20,0,8h 10m,6C8FFA1B230A433B,2615784CC5828BD2,7,Arrival times within ±1 minutes,"(member, 175 N Harvard St -> N. Harvard St at Harvard Way, ~602)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,8,9,10,11
COMMUTER_member_Aquarium T Stop - 200 Atlantic Ave~ID Building West,VERY HIGH,Matched Outbound + Return Journey,member,B32004,C32021,C32021,B32004,07:30,07:30,14:51,2025-10-15,2025-10-15,0,7h 21m,B6004D7745BA4335,FB64671107E4B289,7,Arrival times within ±1 minutes,"(member, Aquarium T Stop - 200 Atlantic Ave -> ID Building West, ~450)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,10,10,10,14
COMMUTER_member_55 Wheeler Street~Alewife MBTA at Steel Place,VERY HIGH,Matched Outbound + Return Journey,member,M32088,M32046,M32046,M32088,08:50,08:50,17:28,2025-10-27,2025-10-27,0,8h 38m,3118B15A8AF8B3B8,F8BFEC2DAA027E67,7,Arrival times within ±1 minutes,"(member, 55 Wheeler Street -> Alewife MBTA at Steel Place, ~530)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,8,8,12,13
COMMUTER_member_Brookline Village MBTA at Pearl Street~Jamaicaway at Perkins St,VERY HIGH,Matched Outbound + Return Journey,member,K32003,E32002,E32002,K32003,08:22,08:22,17:33,2025-10-29,2025-10-29,0,9h 11m,4FE8B11AFA4D8C79,C05F6C3A79A8FF5B,7,Arrival times within ±1 minutes,"(member, Brookline Village MBTA at Pearl Street -> Jamaicaway at Perkins St, ~502)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,8,9,9,13
COMMUTER_member_Edwards Playground - Main St at Eden St~Bunker Hill Community College,VERY HIGH,Matched Outbound + Return Journey,member,A32022,A32023,A32023,A32022,06:52,06:52,15:08,2025-10-31,2025-10-31,0,8h 16m,1DC0A4A647D6A3CE,5937BF4F4C05CB25,7,Arrival times within ±1 minutes,"(member, Edwards Playground - Main St at Eden St -> Bunker Hill Community College, ~412)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,11,14,14,14
COMMUTER_member_Conway Park - Somerville Avenue~Porter Square Station,VERY HIGH,Matched Outbound + Return Journey,member,S32004,M32029,M32029,S32004,07:33,07:33,21:44,2025-10-31,2025-10-31,0,14h 11m,67FEADE5F61A465A,1AB53AA6A062CBAC,7,Arrival times within ±1 minutes,"(member, Conway Park - Somerville Avenue -> Porter Square Station, ~452)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,8,9,9,10
COMMUTER_member_Harvard University Radcliffe Quadrangle at Shepard St / Garden St~N. Harvard St at Harvard Way,VERY HIGH,Matched Outbound + Return Journey,member,M32024,A32015,A32015,M32024,07:17,07:17,15:04,2025-10-10,2025-10-10,0,7h 47m,80A34A22BF46C5A1,DDD0F8E5A68F9791,6,Arrival times within ±1 minutes,"(member, Harvard University Radcliffe Quadrangle at Shepard St / Garden St -> N. Harvard St at Harvard Way, ~436)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,11,11,11,11
COMMUTER_member_South Station - 700 Atlantic Ave~Albany St at E. Brookline St,VERY HIGH,Matched Outbound + Return Journey,member,A32010,C32061,C32061,A32010,06:32,06:32,15:25,2025-10-16,2025-10-16,0,8h 53m,0A1B1DA63DF3DA37,A149F3870CC0466E,6,Arrival times within ±1 minutes,"(member, South Station - 700 Atlantic Ave -> Albany St at E. Brookline St, ~392)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,13,20,20,21
COMMUTER_member_Washington St at Northampton St~Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,VERY HIGH,Matched Outbound + Return Journey,member,C32072,B32002,B32002,C32072,07:51,07:51,15:22,2025-10-16,2025-10-16,0,7h 31m,70F11689D600B03F,E55870E40BA5E0FC,6,Arrival times within ±1 minutes,"(member, Washington St at Northampton St -> Ruggles T Stop - Columbus Ave at Melnea Cass Blvd, ~470)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,8,8,11,13
COMMUTER_member_Geiger Gibson Community Health Center~JFK/UMass T Stop,VERY HIGH,Matched Outbound + Return Journey,member,C32090,C32013,C32013,C32090,18:02,18:02,22:39,2025-10-10,2025-10-10,0,4h 37m,D730F488F9003101,0ABB5DD42779CFF4,6,Arrival times within ±1 minutes,"(member, Geiger Gibson Community Health Center -> JFK/UMass T Stop, ~1082)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,9,10,10,11
COMMUTER_member_Washington St at Melnea Cass Blvd~Boston Medical Center - E Concord St at Harrison Ave,VERY HIGH,Matched Outbound + Return Journey,member,B32026,C32002,C32002,B32026,05:45,05:45,19:35,2025-10-24,2025-10-24,0,13h 50m,AC3177087224BD3B,97B528FFDC2C17DB,6,Arrival times within ±1 minutes,"(member, Washington St at Melnea Cass Blvd -> Boston Medical Center - E Concord St at Harrison Ave, ~344)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,6,18,6,18
COMMUTER_member_Gilman Square T at Medford St~Spaulding Rehabilitation Hospital - Charlestown Navy Yard,VERY HIGH,Matched Outbound + Return Journey,member,S32046,D32023,D32023,S32046,05:55,05:55,16:10,2025-10-22,2025-10-22,0,10h 15m,DA52F0FBAA990910,9566ED03CE840026,5,Arrival times within ±1 minutes,"(member, Gilman Square T at Medford St -> Spaulding Rehabilitation Hospital - Charlestown Navy Yard, ~354)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,1,9,14,14
COMMUTER_member_Gore Street at Lambert Street~Mass Ave/Lafayette Square,VERY HIGH,Matched Outbound + Return Journey,member,M32081,M32085,M32085,M32081,06:04,06:04,17:05,2025-10-05,2025-10-05,0,11h 1m,D52DDFBEEB198F7C,FBE67D87E11F8659,5,Arrival times within ±1 minutes,"(member, Gore Street at Lambert Street -> Mass Ave/Lafayette Square, ~364)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,6,9,9,9
COMMUTER_casual_Harvard University River Houses at DeWolfe St / Cowperthwaite St~Harvard University River Houses at DeWolfe St / Cowperthwaite St,VERY HIGH,Matched Outbound + Return Journey,casual,M32038,M32038,M32038,M32038,00:01,00:01,10:15,2025-10-18,2025-10-18,0,10h 14m,B0CD51EDE7B0A2BC,A8FDEA09B30CA5CB,5,Arrival times within ±1 minutes,"(casual, Harvard University River Houses at DeWolfe St / Cowperthwaite St -> Harvard University River Houses at DeWolfe St / Cowperthwaite St, ~0)",Same member type + route + precise arrival time + return journey = clear person identification,5,20.0,NO - Acceptable,HIGH - Few matches,6,7,8,8
COMMUTER_casual_Seaport Blvd at Sleeper St~South Boston Library - 646 E Broadway,VERY HIGH,Matched Outbound + Return Journey,casual,C32036,C32017,C32017,C32036,01:09,01:09,13:50,2025-10-19,2025-10-19,0,12h 41m,D3B6B164B0CCCF74,A61AE2025A8E0E4F,5,Arrival times within ±0 minutes,"(casual, Seaport Blvd at Sleeper St -> South Boston Library - 646 E Broadway, ~68)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,5,5,5,5
COMMUTER_member_MIT at Mass Ave / Amherst St~Cambridge St at Joy St,VERY HIGH,Matched Outbound + Return Journey,member,M32006,D32000,D32000,M32006,13:48,13:48,23:33,2025-10-18,2025-10-18,0,9h 45m,55B50F55EDD11F08,FFC3D4710AD726AB,5,Arrival times within ±1 minutes,"(member, MIT at Mass Ave / Amherst St -> Cambridge St at Joy St, ~828)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,5,5,6,6
COMMUTER_member_Central Square East Boston~East Boston Neighborhood Health Center - 20 Maverick Square,VERY HIGH,Matched Outbound + Return Journey,member,A32041,A32031,A32031,A32041,06:34,06:34,13:58,2025-10-16,2025-10-16,0,7h 24m,ADBF59F1382A689B,CA458DAF8F1E5A8A,5,Arrival times within ±0 minutes,"(member, Central Square East Boston -> East Boston Neighborhood Health Center - 20 Maverick Square, ~394)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,9,11,11,16
COMMUTER_member_Boylston St at Exeter St~Mugar Way at Beacon St,VERY HIGH,Matched Outbound + Return Journey,member,D32046,D32017,D32017,D32046,07:51,07:51,15:32,2025-10-20,2025-10-20,0,7h 41m,22E729AF96FE2C23,88EE297DF46E8173,5,Arrival times within ±1 minutes,"(member, Boylston St at Exeter St -> Mugar Way at Beacon St, ~470)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,12,12,14,17
COMMUTER_member_Tremont St at Northampton St~Back Bay T Stop - Dartmouth St at Stuart St,VERY HIGH,Matched Outbound + Return Journey,member,C32056,C32003,C32003,C32056,06:14,06:14,15:43,2025-10-14,2025-10-14,0,9h 29m,8355BC87F788F1F3,B243349A1098BBCB,5,Arrival times within ±1 minutes,"(member, Tremont St at Northampton St -> Back Bay T Stop - Dartmouth St at Stuart St, ~374)",Same member type + route + precise arrival time + return journey = clear person identification,1,100.0,YES - K-anonymity violated!,CRITICAL - Almost unique,20,21,20,21
COMMUTER_member_Cambridge Main Library at Broadway / Trowbridge St~University Park,VERY HIGH,Matched Outbound + Return Journey,member,M32013,M32040,M32040,M32013,08:36,08:36,16:40,2025-10-30,2025-10-30,0,8h 4m,564D96B6C525C36C,87F90A21F6339FD0,5,Arrival times within ±1 minutes,"(member, Cambridge Main Library at Broadway / Trowbridge St -> University Park, ~516)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,14,18,19,29
COMMUTER_member_South Station - 700 Atlantic Ave~Binney St / Sixth St,VERY HIGH,Matched Outbound + Return Journey,member,A32010,M32027,M32027,A32010,06:27,06:27,14:48,2025-10-21,2025-10-21,0,8h 21m,3234691D8AA6F8BA,35393A23592E91EE,5,Arrival times within ±1 minutes,"(member, South Station - 700 Atlantic Ave -> Binney St / Sixth St, ~386)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,14,14,14,14
COMMUTER_member_South Station - 700 Atlantic Ave~Seaport Blvd at Sleeper St,VERY HIGH,Matched Outbound + Return Journey,member,A32010,C32036,C32036,A32010,08:35,08:35,15:21,2025-10-30,2025-10-30,0,6h 46m,7319D70AFDBD85BC,FA2E7D8322B9B92E,5,Arrival times within ±1 minutes,"(member, South Station - 700 Atlantic Ave -> Seaport Blvd at Sleeper St, ~514)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,5,8,11,9
COMMUTER_member_Commonwealth Ave at Agganis Way~Silber Way,VERY HIGH,Matched Outbound + Return Journey,member,A32002,D32032,D32032,A32002,07:55,07:55,21:08,2025-10-29,2025-10-29,0,13h 13m,29C3AA5605B89F4C,4E5C3694D012D0C1,5,Arrival times within ±1 minutes,"(member, Commonwealth Ave at Agganis Way -> Silber Way, ~474)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,5,12,14,15
COMMUTER_member_699 Mt Auburn St~Concord Ave at Spinelli Place,VERY HIGH,Matched Outbound + Return Journey,member,M32054,M32074,M32074,M32054,08:08,08:08,17:25,2025-10-07,2025-10-07,0,9h 17m,C4CF8B2B511B8460,6B576D367F2266CC,5,Arrival times within ±1 minutes,"(member, 699 Mt Auburn St -> Concord Ave at Spinelli Place, ~488)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,9,9,11,13
COMMUTER_member_Harvard University Housing - 115 Putnam Ave at Peabody Terrace~Harvard Kennedy School at Bennett St / Eliot St,VERY HIGH,Matched Outbound + Return Journey,member,M32014,M32016,M32016,M32014,08:46,08:46,20:07,2025-10-29,2025-10-29,0,11h 21m,D2C6EA07096B4C81,D9EEBEEF7CD80DD5,5,Arrival times within ±1 minutes,"(member, Harvard University Housing - 115 Putnam Ave at Peabody Terrace -> Harvard Kennedy School at Bennett St / Eliot St, ~526)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,12,20,14,22
COMMUTER_member_Gore Street at Lambert Street~EF - North Point Park,VERY HIGH,Matched Outbound + Return Journey,member,M32081,M32034,M32034,M32081,08:36,08:36,18:39,2025-10-24,2025-10-24,0,10h 3m,92ED5CEA02F9C071,C78756DEF18F7037,5,Arrival times within ±1 minutes,"(member, Gore Street at Lambert Street -> EF - North Point Park, ~516)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,12,15,21,16
COMMUTER_member_West Medford Square (Bower St at Harvard Ave)~Mystic Valley Parkway at River Station,VERY HIGH,Matched Outbound + Return Journey,member,F32007,F32015,F32015,F32007,07:14,07:14,16:26,2025-10-01,2025-10-01,0,9h 12m,D638D4E4A732B4D5,E58EB461472F246C,5,Arrival times within ±1 minutes,"(member, West Medford Square (Bower St at Harvard Ave) -> Mystic Valley Parkway at River Station, ~434)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,7,13,7,13
COMMUTER_member_39 Brighton Ave~Commonwealth Ave at Agganis Way,VERY HIGH,Matched Outbound + Return Journey,member,D32073,A32002,A32002,D32073,09:57,09:57,17:33,2025-10-15,2025-10-15,0,7h 36m,883AEC036779B230,1BE5EAE5332CFB09,5,Arrival times within ±1 minutes,"(member, 39 Brighton Ave -> Commonwealth Ave at Agganis Way, ~596)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,11,13,14,14
COMMUTER_member_MLK Blvd at Washington St~Nubian Square - Bolling Building,HIGH,Matched Outbound + Return Journey,member,B32023,B32017,B32017,B32023,04:26,04:26,23:21,2025-10-17,2025-10-17,0,18h 55m,2D180160E1777848,8EFBD3889C668F41,4,Arrival times within ±1 minutes,"(member, MLK Blvd at Washington St -> Nubian Square - Bolling Building, ~266)",Same member type + route + precise arrival time + return journey = clear person identification,1,100.0,YES - K-anonymity violated!,CRITICAL - Almost unique,11,15,16,16
COMMUTER_member_Oak Square - Washington St at Bigelow St~Deerfield St at Commonwealth Ave,HIGH,Matched Outbound + Return Journey,member,D32076,B32037,B32037,D32076,08:09,08:09,18:17,2025-10-06,2025-10-06,0,10h 8m,A901634625C0B7FE,BD68D62288581A8E,4,Arrival times within ±1 minutes,"(member, Oak Square - Washington St at Bigelow St -> Deerfield St at Commonwealth Ave, ~488)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,6,6,10,10
COMMUTER_member_Christian Science Plaza - Massachusetts Ave at Westland Ave~Mass Ave/Lafayette Square,HIGH,Matched Outbound + Return Journey,member,B32005,M32085,M32085,B32005,10:17,10:17,18:44,2025-10-31,2025-10-31,0,8h 27m,856F3C36C8019DFF,CF0332721BAC63DF,4,Arrival times within ±0 minutes,"(member, Christian Science Plaza - Massachusetts Ave at Westland Ave -> Mass Ave/Lafayette Square, ~616)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,5,9,7,10
COMMUTER_member_Ruggles T Stop - Columbus Ave at Melnea Cass Blvd~Mass Ave at Albany St,HIGH,Matched Outbound + Return Journey,member,B32002,M32061,M32061,B32002,09:19,09:19,21:59,2025-10-21,2025-10-21,0,12h 40m,8F0A3F26D7B0B450,8AFC0DF689E3E734,4,Arrival times within ±1 minutes,"(member, Ruggles T Stop - Columbus Ave at Melnea Cass Blvd -> Mass Ave at Albany St, ~558)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,6,10,8,10
COMMUTER_member_Harvard Law School at Mass Ave / Jarvis St~Harvard Kennedy School at Bennett St / Eliot St,HIGH,Matched Outbound + Return Journey,member,M32020,M32016,M32016,M32020,08:42,08:42,19:58,2025-10-15,2025-10-15,0,11h 16m,B6084B23B1953169,92FBB18620ADB907,4,Arrival times within ±1 minutes,"(member, Harvard Law School at Mass Ave / Jarvis St -> Harvard Kennedy School at Bennett St / Eliot St, ~522)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,8,12,13,19
COMMUTER_member_Rowes Wharf at Atlantic Ave~Lewis Wharf at Atlantic Ave,HIGH,Matched Outbound + Return Journey,member,D32008,D32006,D32006,D32008,07:52,07:52,16:45,2025-10-07,2025-10-07,0,8h 53m,25651BCBCB857794,801C1F135CB14B50,4,Arrival times within ±1 minutes,"(member, Rowes Wharf at Atlantic Ave -> Lewis Wharf at Atlantic Ave, ~472)",Same member type + route + precise arrival time + return journey = clear person identification,2,50.0,YES - K-anonymity violated!,CRITICAL - Almost unique,12,13,15,15
COMMUTER_casual_Christian Science Plaza - Massachusetts Ave at Westland Ave~Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,HIGH,Matched Outbound + Return Journey,casual,B32005,B32002,B32002,B32005,08:58,08:58,23:35,2025-10-27,2025-10-27,0,14h 37m,8986FAA0D1FBACD2,7A5151A7C5A0EA10,4,Arrival times within ±1 minutes,"(casual, Christian Science Plaza - Massachusetts Ave at Westland Ave -> Ruggles T Stop - Columbus Ave at Melnea Cass Blvd, ~538)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,5,5,5,5
COMMUTER_casual_Chinatown T Stop~Chinatown Gate Plaza,HIGH,Matched Outbound + Return Journey,casual,D32019,D32015,D32015,D32019,01:30,01:30,19:57,2025-10-18,2025-10-18,0,18h 27m,9632658BFED7CF13,CEB596B65268E26F,4,Arrival times within ±0 minutes,"(casual, Chinatown T Stop -> Chinatown Gate Plaza, ~90)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,4,5,5,5
COMMUTER_casual_Forsyth St at Huntington Ave~Smith St at Parker St,HIGH,Matched Outbound + Return Journey,casual,B32062,B32070,B32070,B32062,19:15,19:15,23:46,2025-10-19,2025-10-19,0,4h 31m,AE7807F931F58F29,69710C4D0838C2E1,4,Arrival times within ±1 minutes,"(casual, Forsyth St at Huntington Ave -> Smith St at Parker St, ~1154)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,4,5,6,8
COMMUTER_member_Main St at Baldwin St~Surface Rd at India St,HIGH,Matched Outbound + Return Journey,member,D32036,A32013,A32013,D32036,07:04,07:04,15:10,2025-10-03,2025-10-03,0,8h 6m,D13D9BE48D519474,5933BC526083EDD9,4,Arrival times within ±1 minutes,"(member, Main St at Baldwin St -> Surface Rd at India St, ~424)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,2,11,12,12
COMMUTER_member_Back Bay T Stop - Dartmouth St at Stuart St~Boston Medical Center - E Concord St at Harrison Ave,HIGH,Matched Outbound + Return Journey,member,C32003,C32002,C32002,C32003,08:34,08:34,16:25,2025-10-09,2025-10-09,0,7h 51m,D62EFB41321C0085,8D0203A29EB43DF2,4,Arrival times within ±1 minutes,"(member, Back Bay T Stop - Dartmouth St at Stuart St -> Boston Medical Center - E Concord St at Harrison Ave, ~514)",Same member type + route + precise arrival time + return journey = clear person identification,1,100.0,YES - K-anonymity violated!,CRITICAL - Almost unique,3,7,7,9
COMMUTER_member_Charles Circle - Charles St at Cambridge St~75 Binney St,HIGH,Matched Outbound + Return Journey,member,D32016,M32064,M32064,D32016,07:42,07:42,17:22,2025-10-17,2025-10-17,0,9h 40m,DBC38946F885A500,B337D96AF0E1A6C1,4,Arrival times within ±0 minutes,"(member, Charles Circle - Charles St at Cambridge St -> 75 Binney St, ~462)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,8,8,9,8
COMMUTER_member_Harvard St at Greene-Rose Heritage Park~One Brigham Circle,HIGH,Matched Outbound + Return Journey,member,M32055,B32036,B32036,M32055,08:10,08:10,16:12,2025-10-21,2025-10-21,0,8h 2m,F823C80958947194,39C895E602F8BCD2,4,Arrival times within ±1 minutes,"(member, Harvard St at Greene-Rose Heritage Park -> One Brigham Circle, ~490)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,12,12,18,18
COMMUTER_member_Swan Place at Minuteman Bikeway~Chestnut St at Poplar St,HIGH,Matched Outbound + Return Journey,member,L32007,S32053,S32053,L32007,08:22,08:22,17:47,2025-10-23,2025-10-23,0,9h 25m,52DD66990F3F2CBE,470B38C4492672D5,4,Arrival times within ±1 minutes,"(member, Swan Place at Minuteman Bikeway -> Chestnut St at Poplar St, ~502)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,8,10,17,10
COMMUTER_member_Kendall T~One Kendall Square at Hampshire St / Portland St,HIGH,Matched Outbound + Return Journey,member,M32004,M32002,M32002,M32004,08:22,08:22,17:45,2025-10-09,2025-10-09,0,9h 23m,7B93A4EA2A20F336,17DB75CD8F43F786,4,Arrival times within ±1 minutes,"(member, Kendall T -> One Kendall Square at Hampshire St / Portland St, ~502)",Same member type + route + precise arrival time + return journey = clear person identification,2,50.0,YES - K-anonymity violated!,CRITICAL - Almost unique,4,4,6,4
