Person_ID,Identification_Confidence,Evidence_Type,Member_Type,Outbound_start_station_id,Outbound_end_station_id,Return_start_station_id,Return_end_station_id,Outbound_Undock_Time,Outbound_Redock_Time,Return_Undock_Time,Outbound_Date,Return_Date,Outbound_Bike_Time_Minutes,Time_At_Destination,Outbound_Ride_ID,Return_Ride_ID,Number_Of_Matched_Pairs,Pattern_Consistency,Quasi_Identifier,Why_Not_Anonymous,Anonymity_Set_Size,Uniqueness_Score,K_Anonymity_Violated,Privacy_Risk_Level,Anonymity_at_±5min,Anonymity_at_±10min,Anonymity_at_±15min,Anonymity_at_±20min
COMMUTER_member_Tremont St at Northampton St~Back Bay T Stop - Dartmouth St at Stuart St,CRITICAL,Matched Outbound + Return Journey,member,C32056,C32003,C32003,C32056,06:14,06:14,15:43,2025-10-14,2025-10-14,0,9h 29m,8355BC87F788F1F3,B243349A1098BBCB,19,Arrival times within ±5 minutes,"(member, Tremont St at Northampton St -> Back Bay T Stop - Dartmouth St at Stuart St, ~368)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,20,21,20,21
COMMUTER_member_Edwards Playground - Main St at Eden St~18 Dorrance Warehouse,CRITICAL,Matched Outbound + Return Journey,member,A32022,X32999,X32999,A32022,09:39,09:39,18:02,2025-10-18,2025-10-18,0,8h 23m,E9CB5D022F0AC22E,A5F731DC39B7B3FF,14,Arrival times within ±5 minutes,"(member, Edwards Playground - Main St at Eden St -> 18 Dorrance Warehouse, ~576)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,11,11,16,11
COMMUTER_member_South Station - 700 Atlantic Ave~Mugar Way at Beacon St,CRITICAL,Matched Outbound + Return Journey,member,A32010,D32017,D32017,A32010,07:13,07:13,15:46,2025-10-31,2025-10-31,0,8h 33m,01996DD8CE7C7914,9473AC5DA07F703C,12,Arrival times within ±4 minutes,"(member, South Station - 700 Atlantic Ave -> Mugar Way at Beacon St, ~432)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,6,12,6,12
COMMUTER_member_Lansdowne T Stop~Mass Ave at Albany St,CRITICAL,Matched Outbound + Return Journey,member,B32058,M32061,M32061,B32058,07:42,07:42,15:51,2025-10-28,2025-10-28,0,8h 9m,23958E8DD7E412EF,638CCE3B24E57A11,11,Arrival times within ±3 minutes,"(member, Lansdowne T Stop -> Mass Ave at Albany St, ~456)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,13,15,13,16
COMMUTER_member_Harvard Law School at Mass Ave / Jarvis St~Harvard Kennedy School at Bennett St / Eliot St,CRITICAL,Matched Outbound + Return Journey,member,M32020,M32016,M32016,M32020,08:42,08:42,19:58,2025-10-15,2025-10-15,0,11h 16m,B6084B23B1953169,92FBB18620ADB907,11,Arrival times within ±5 minutes,"(member, Harvard Law School at Mass Ave / Jarvis St -> Harvard Kennedy School at Bennett St / Eliot St, ~520)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,8,12,13,19
COMMUTER_member_Aquarium T Stop - 200 Atlantic Ave~ID Building West,CRITICAL,Matched Outbound + Return Journey,member,B32004,C32021,C32021,B32004,07:30,07:30,14:51,2025-10-15,2025-10-15,0,7h 21m,B6004D7745BA4335,FB64671107E4B289,11,Arrival times within ±4 minutes,"(member, Aquarium T Stop - 200 Atlantic Ave -> ID Building West, ~448)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,10,10,10,14
COMMUTER_member_Columbus Ave at W. Canton St~Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,CRITICAL,Matched Outbound + Return Journey,member,C32077,B32002,B32002,C32077,07:37,07:37,17:55,2025-10-30,2025-10-30,0,10h 18m,ABA43B2C6184A324,E55BAC04586B506E,10,Arrival times within ±5 minutes,"(member, Columbus Ave at W. Canton St -> Ruggles T Stop - Columbus Ave at Melnea Cass Blvd, ~456)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,10,10,14,10
COMMUTER_member_Beacon St at Massachusetts Ave~MIT at Mass Ave / Amherst St,VERY HIGH,Matched Outbound + Return Journey,member,B32016,M32006,M32006,B32016,08:58,08:58,15:46,2025-10-03,2025-10-03,0,6h 48m,52103CF391CD0A22,6AAC528C6883F40B,9,Arrival times within ±4 minutes,"(member, Beacon St at Massachusetts Ave -> MIT at Mass Ave / Amherst St, ~536)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,7,8,12,15
COMMUTER_member_Harvard Square at Mass Ave/ Dunster~191 Beacon St,VERY HIGH,Matched Outbound + Return Journey,member,M32018,S32035,S32035,M32018,08:56,08:56,17:59,2025-10-10,2025-10-10,0,9h 3m,0F3B43C9BF020C4B,ABBF6090AB388476,9,Arrival times within ±3 minutes,"(member, Harvard Square at Mass Ave/ Dunster -> 191 Beacon St, ~536)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,12,16,17,17
COMMUTER_member_Edwards Playground - Main St at Eden St~Bunker Hill Community College,VERY HIGH,Matched Outbound + Return Journey,member,A32022,A32023,A32023,A32022,06:52,06:52,15:08,2025-10-31,2025-10-31,0,8h 16m,1DC0A4A647D6A3CE,5937BF4F4C05CB25,9,Arrival times within ±4 minutes,"(member, Edwards Playground - Main St at Eden St -> Bunker Hill Community College, ~408)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,11,14,14,14
COMMUTER_member_South Station - 700 Atlantic Ave~Binney St / Sixth St,VERY HIGH,Matched Outbound + Return Journey,member,A32010,M32027,M32027,A32010,06:29,06:29,14:45,2025-10-20,2025-10-20,0,8h 16m,9CFBA5ADB9A79E48,B91DFACF0D865CCE,9,Arrival times within ±4 minutes,"(member, South Station - 700 Atlantic Ave -> Binney St / Sixth St, ~384)",Same member type + route + precise arrival time + return journey = clear person identification,0,0,YES - K-anonymity violated!,CRITICAL - Almost unique,14,14,14,14
